PRODUCTOS    |Proveedor|PVP DEF con IVA|PVP socios|Observaciones
Queso cabra La Cabra tira al Jerte 400gr|La cabra tira al Jerte|10.80||
Mozzarella bufala 125 gr eco|Gumendi|3.15||
Queso en lonchas 120gr|Gumendi|2.40||
Mantequilla Granja Xanceda|Gumendi|3.85||
Queso Joven|Mama cabra|22.90||precio por kilo
Sierra Sur|Mama cabra|24.75||precio por kilo
Ahumadito/campero/quesazo|Mama cabra|24.25||precio por kilo
Oveja negra|Mama cabra|10.90||
Quesaita láctica|Mama cabra|10.90||
Queso azul|Mama cabra|27.90||precio por kilo
Corteza lavada|Mama cabra|25.65||precio por kilo
Queso mestizo / campero 8M|Mama cabra|25.60||precio por kilo
Yogur de cabra/oveja Mama Cabra|Mama cabra|4.05||
Caña de lomo|Ecoibéricos|78.30||precio por kilo
Salchichón|Ecoibéricos|45.40||precio por kilo
Chorizo|Ecoibéricos|41.15||precio por kilo
Sobrasada|Ecoibéricos|23.80||precio por kilo
Virutas jamón Bolsa 100 gr|Ecoibéricos|5.70||
CHOCOLATES Y CACAOS||||
Chocolate blanco/con leche LCS|Mundo Solidario|1.90||
Chocolate con almendras/avellanas LCS|Mundo Solidario|1.90||
Chocolate negro 100%|Equimercado|2.70||
Chocolate negro 85%|Equimercado|2.60||
kaoka naranja|Equimercado|3.00||
Kaoka con sal|Equimercado|3.00||
kaoka avellanas |Equimercado|3.00||
Kaoka frambuesas|Equimercado|3.00||
Chocolate menta|Equimercado|2.50||
Chocoalte naranja y pimienta|Equimercado|2.50||
Chocolate  almendra y limón|Equimercado|2.50||
Perucao pequeño (cacao soluble) 400gr|Mundo Solidario|3.75||
Perucao Grande (cacao soluble) 800 gr|Mundo Solidario|6.45||
Recambio perucao 1 kg|Mundo Solidario|7.50||
Cacao puro 500gr|Alternativa 3|9.50||
Cacao puro 150 gr|Alternativa 3|3.60||
Cacao puro desgrasado 150 gr|Alternativa 3|3.40||
Minigotas de chocolate 225gr|Alternativa 3|5.15||
Chocolate a la taza|Alternativa 3|4.75||
Crema de avellanas y chocolate|IO|6.35||
GALLETAS, CEREALES Y OTROS DESAYUNO||||
Galletas miel azucar|IO|2.90||
galletas cacao anacardos|IO|3.30||
Galletas miel chips chocolate|IO|3.30||
Galletas speculoos|IO|3.10||
Galletas al cacao bio frolle|IO|2.95||
Bolitas de maiz con miel|Gumendi|2.25||
Arroz inflado con chocolate|Gumendi|2.25||
Copos avena finos 500gr|Bioles|1.85|1.75|
Mermeladas (fresa, naranja, melocoton)|Naturver|3.10||
Mermelada manzana|Subbética ecológica|2.40||
Mermelada fresa|Subbética ecológica|2.85||
Mermelada mandarina|Despensa La nuestra|2.85||
SNACKS, FRUTOS SECOS, SEMILLAS Y DERIVADOS||||
Almendras con piel 250gr|Bioles|5.10||
Datiles con hueso 250gr|Bioles|2.60|2.60|
Anacardos 250gr|Bioles|5.10||
Higos 250gr|Bioles|2.50|2.50|
Tomate deshidratado 250gr|Bioles|2.90||
Pasas 250gr|Bioles|1.80||
Nueces 250 gr|Nueces Iberas|5.85||
Maiz palomitero 500gr|Bioles|2.25||
Palomitas de maiz microondas|Gumendi|1.30||
Patatas fritas Añavieja (queso)|Gumendi|2.00||
Patatas fritas Añavieja (paprika, provenzal, queso)|Gumendi|1.90||
Barritas sésamo|IO|0.55||
Tortitas arroz normales|Biocop|2.65||
Tortitas maiz|Biocop|1.60||
Bananitas|IO|2.25||
Chips maiz 125gr|Naturver|2.35||
Crema de cacahuete|Gumendi|4.15||
Tahín tostado con sal|Naturver|5.50||
Sésamo crudo 500gr|Naturver|4.20||
Pipas 500gr|Naturver|3.75||
Soja texturizada 300gr|Gumendi|3.85||
PASTA||||
Espaguettis blancos|Bioles|1.90||
Espaguettis integrales|Bioles|1.90||
Fideos 500 kg|Bioles|1.90||
Macarrones blancos|Bioles|1.90||
Macarrones integrales|Bioles|1.90||
Pastas todas blanca/integral|Spiga Negra|3.00||
Spaguettis blanco/integral|Spiga Negra|3.30||
Tagliatelle blanco/integral|Spiga Negra|2.20||
Tagliatelle pimentón|Spiga Negra|2.25||
Fussilli pimentón|Spiga Negra|3.65||
CONDIMENTOS||||
Sal gorda/fina|Biocop|1.20||
Pastillas de caldo pollo|Biocop|1.90||
Pastillas de caldo vegetal|Naturver|1.90||
Salsa de soja|Biocop|3.50||
leche de coco pequeña|IO|2.15||
leche de coco grande|Equimercado|3.25||
Ajo granulado|Naturver|2.60||
pimienta negra grano|Equimercado|3.20||
orégano|Naturver|2.05||
canela rama|Equimercado|3.10||
pimenton dulce|Naturver|1.95||
pimenton picante|Naturver|2.35||
comino polvo|Equimercado|3.90||
Jengibre molido|Equimercado|3.45||
canela molida|Equimercado|3.50||
cúrcuma|Equimercado|3.90||
nuez moscada|Equimercado|3.60||
pimienta negra polvo|Equimercado|3.70||
cilantro polvo|Equimercado|3.30||
garam masala|Equimercado|4.20||
Curry|Equimercado|4.05||
AZUCÁR, MIEL Y DERIVADOS||||
Panela BIO 1 Kg|IO|4.30|4.10|
Azucar blanca 500gr|IO|2.60||
Azucar glass 250gr|Alternativa 3|2.80||
Miel todas variedades 500 gr|Apícola de Montoro|5.50||
Miel frutos secos 400 gr|Apícola de Montoro|8.85||
Miel todas variedades 1 kg|Apícola de Montoro|10.05||
Miel multiflores eco 1 kg|Solytierra|10.60||
Miel multiflores eco 500 gr|Solytierra|5.90||
Piruletas|IO|0.15||
Miel verdemiel 375gr|Verdemiel|5.80||
Miel verdemiel 800gr|Verdemiel|11.20||
Polen 162 gr|Verdemiel|5.80||
Propóleo con extracto de equinacea|Rancho Cortesano|11.75||
LEGUMBRES, ARROZ Y OTROS||||
Arroz Redondo Blanco|Bioles|2.55||
Arroz Redondo Integral|Bioles|2.40||
Saco 5 kg arroz redondo blanco|Gumendi|23.10||
Cuscús blanco|Bioles|2.15||
Cuscús integral|Bioles|2.10||
Quinoa 500gr|Bioles|3.50||
Alubia negra Feir Trade|Bioles|2.50||
Lenteja Pardina 500gr|Legumbres baena|2.30||
Garbanzo 500 gr|Legumbres baena|2.00||
Alubia blanca 500 gr|Legumbres baena|2.30||
Garbanzos 1 kg Luna|Huerta Lunera|4.05||
Garbanzos 500gr|ADISMAR|1.70||
Chicharos 500gr|ADISMAR|1.80||
Alubia blanca 500gr |ADISMAR|1.70||
Lentejas 500gr|ADISMAR|1.80||
HARINA, PAN, BOLLERIA Y DERIVADOS||||
Harina trigo blanca 800gr|Rincón del Segura|2.65||
Harina trigo integral 800gr|Rincón del Segura|2.50||
Harina centeno blanca 900gr (formato anterior)|Rincón del Segura|2.50||
Harina centeno integral 800gr|Rincón del Segura|2.40||
